text,label
"URGENT: Your account has been compromised! Click here immediately to secure your account: http://secure-verify.com/login?user=12345",1
"Dear Customer, We've detected unusual activity on your PayPal account. Verify now: http://paypa1-secure.net/verify",1
"CONGRATULATIONS! You've won $1,000,000 in our lottery! Claim your prize: http://lottery-winner.xyz/claim",1
"Your Amazon order #123-456-789 has been shipped. Track your package at amazon.com",0
"Hi John, the meeting tomorrow has been moved to 3pm. Let me know if that works for you. - Sarah",0
"Your Netflix subscription will renew next month. No action needed.",0
"ALERT: Your Apple ID was used to sign in to iCloud. If this wasn't you, click here: http://apple-verify.co/secure",1
"Team, please review the attached quarterly report before Friday's presentation. Thanks, Mike",0
"Your Microsoft account password expires in 24 hours! Update now: http://microsoft-account.info/reset",1
"Hey, great catching up yesterday! Let's do lunch next week. - David",0
"IMPORTANT: Your bank account will be suspended! Verify identity: http://bank-secure.net/verify",1
"Thanks for your purchase at Best Buy. Your receipt is attached.",0
"Dear valued customer, your account requires immediate verification. Click here: http://secure-banking.xyz",1
"The project deadline has been extended to next Friday. Please update your schedules accordingly.",0
"FINAL WARNING: Your account access will be terminated! Act now: http://account-verify.com",1
"Hi everyone, please remember to submit your timesheets by end of day Friday.",0
"Your Instagram password was changed. If this wasn't you: http://instagram-security.net/recover",1
"Welcome to our newsletter! You'll receive weekly updates on our latest products.",0
"SECURITY ALERT: Unauthorized login detected! Secure your account: http://secure-login.xyz/protect",1
"Happy birthday! Wishing you a wonderful day filled with joy and celebration.",0
"Your package from UPS is on its way. Expected delivery: Tomorrow",0
"URGENT NOTICE: Your email storage is full! Upgrade now: http://email-upgrade.net/storage",1
"Reminder: Your dentist appointment is scheduled for Monday at 10am",0
"Your PayPal transfer of $500 was successful. Reference: TXN123456",0
"WARNING: Your computer may be infected! Download our security tool: http://antivirus-scan.com",1
"Thanks for attending the webinar. Here are the slides as promised.",0
"Dear User, Your account will be closed in 48 hours! Confirm identity: http://account-secure.xyz",1
"Lunch is ready in the break room. Feel free to grab some food!",0
"Your Facebook account has been locked. Verify now: http://fb-security.net/unlock",1
"Meeting notes from today's standup are in the shared drive.",0
"ACT NOW: Limited time offer expires in 2 hours! Click: http://special-deal.xyz",1
"Great job on the presentation today! The client was very impressed.",0
"IMMEDIATE ACTION REQUIRED: Verify your account information: http://verify-account.com",1
"Don't forget: potluck lunch this Friday. Sign up sheet in the kitchen.",0
"Your Apple ID has been disabled. Restore access: http://apple-support.info/restore",1
"Looking forward to the team building event next month!",0
"CRITICAL: Your password has been compromised! Change immediately: http://password-reset.xyz",1
"The new office supplies have arrived. They're in the storage room.",0
"Dear customer, unusual activity detected. Verify: http://bank-verify.net/confirm",1
"Happy holidays from our team! Wishing you a peaceful new year.",0
"WARNING: Your subscription expires today! Renew: http://subscription-renew.com",1
"Please review and sign the updated employee handbook by Friday.",0
"Your Dropbox storage is almost full! Upgrade for free: http://dropbox-upgrade.xyz",1
"Congratulations on your promotion! Well deserved.",0
"ALERT: Someone tried to access your account! Secure it: http://account-protect.net",1
"Remember to update your direct deposit information for next month's payroll.",0
"Your order has been delivered. We hope you enjoy your purchase!",0
"FINAL NOTICE: Account suspension imminent! Act now: http://save-account.com",1
"The coffee machine in the break room has been fixed.",0
"Verify your identity to prevent account lockout: http://identity-verify.xyz",1
"Thanks for being a loyal customer. Here's a 10% discount code: THANKS10",0

